kuczynski | Numbers of one kind never size-comparable with numbers of any other kind | Mathematics
kuczynski | Formal calculi inherently incomplete | Mathematics
kuczynski | The laws of logic not conventions | Logic
kuczynski | Why there are non-perspectival truths that an indexical-free language is ipso facto unable to express | Language
kuczynski | Empirical theories as interpreted formal calculi | Philosophy of Science
kuczynski | Statements are false that self-refute | Logic
kuczynski | Statements are true that self-verify | Logic
kuczynski | Nothing doesn't follow from a contradiction | Logic
kuczynski | Nothing doesn't entail a tautology | Logic
kuczynski | No contradiction follows from a truth | Logic
kuczynski | No falsehood follows from a tautology | Logic
kuczynski | A truth is necessary if it follows from any given statement-set | Logic
kuczynski | A truth is necessary if its negation entails a contradiction | Logic
kuczynski | A truth is possible if it does not entail a contradiction | Logic
kuczynski | A truth is possible if its negation is not necessary | Logic
kuczynski | Statements about number are encrypted statements about order | Mathematics
kuczynski | Mathematics is the study of ordinal relations | Mathematics
kuczynski | Any given truth concerning ordinal relations is equivalent with a truth of set-theory | Mathematics
kuczynski | An algorithm is simply a useful recursion | Mathematics
kuczynski | Whenever somebody articulates a thought, he does by computing the identity of the appropriate expression; and whenever somebody understands the words of another, he does so by computing its meaning | Language
kuczynski | Any two classes that can be recursively defined have the same cardinality | Mathematics
kuczynski | Given any top-down list of elements of ℝ, expressed as nonterminating decimals, there is a number, namely D(L) (read: the diagonal of L), that is not in L | Mathematics
kuczynski | Diagonal arguments are always used to prove incompleteness | Mathematics
kuczynski | If it can be proved that, for any given model M of a given axiom-set, there is a model M* of that same axiom-set that is non-isomorphic with M*, then that axiom-set is incomplete | Mathematics
kuczynski | Model-theory is the branch of mathematics that studies classes of sentence-schemata | Mathematics
kuczynski | There are many reasons why no scientific discipline can be formalized | Philosophy of Science
kuczynski | There is nothing that either ℚ or ℤ enables us to say about the world that ℕ doesn't allow us to say. The discovery of ℚ-arithmetic and ℤ-arithmetic were ultimately more notational than mathematical | Mathematics
kuczynski | But the discovery of ℝ-arithmetic was a genuine intellectual advance | Mathematics
kuczynski | Even though ℝ is built out of the same ingredients as ℚ and ℤ and therefore ℕ itself, the way in which those ingredients are arranged in ℝ differs fundamentally from the way in which they are arranged in any given one of the other three classes | Mathematics
kuczynski | Cantor's system is not really about number at all. It is an analysis of recursivity and its limits—that is to say, of completeness and incompleteness | Mathematics
kuczynski | An incompleteness proof is simply a proof that, for some class C, there is no recursive definition of C | Mathematics
kuczynski | The non-recursivity of ℝ is really a consequence of the fact that [PK]>[K] | Mathematics
kuczynski | The non-recursivity of ℝ is a consequence of the fact that there is no recursive definition of the class of all logically true statements | Mathematics
kuczynski | Kurt Gödel's celebrated (1931) incompleteness proof is to the effect that the class of all arithmetical truths is incomplete | Mathematics
kuczynski | Gödel's theorem is really a special case of a more comprehensive principle, namely, that the class of recursive definitions is not itself recursively defined | Mathematics
kuczynski | In other words, there is no formal procedure by which, when given an arbitrary statement S, to determine whether or not S is a truth of logic | Logic
